xmin,ymin,xmax,ymax,Object,label,below_object,below_dist,below_obj_index,side_object,side_length,side_obj_index,revised_distances_vert,revised_distances_hori
177,707,334,727,Customer Fax,a,Quantity,177.5,34,2817743755,261.5,24,177.5,261.5
453,707,581,727,2817743755,a,P.O. Number,50.0,25,"$1,128.00 ",0.0,-1,50.0,0.0
483,756,629,778,P.O. Number,a,2.40E+11,63.5,30,Terms,236.0,26,63.5,236.0
756,756,828,777,Terms,a,Net 30,64.0,31,Ship,219.0,27,64.0,219.0
986,756,1036,782,Ship,a,9/11/2019,61.5,32,Via,200.0,28,61.5,200.0
1193,757,1229,778,Via,a,delivered,62.5,33,F.O.B.,244.0,29,62.5,244.0
1420,756,1490,777,F.O.B.,a,Amount,126.0,38,"$1,128.00 ",0.0,-1,126.0,0.0
470,820,639,841,2.40E+11,a,Item Code,62.0,35,Net 30,238.5,31,62.0,238.5
756,820,830,841,Net 30,a,Description,63.5,36,9/11/2019,218.0,32,63.5,218.0
956,820,1066,841,9/11/2019,a,"$1,128.00 ",0.0,-1,delivered,200.0,33,0.0,200.0
1161,820,1261,840,delivered,a,Price Each,62.5,37,"$1,128.00 ",0.0,-1,62.5,0.0
166,882,258,907,Quantity,a,Thank you for your business.,938.0,49,Item Code,224.0,35,-1.0,224.0
378,882,494,903,Item Code,a,Industrial Adhesi,50.0,40,Description,413.0,36,50.0,413.0
787,882,911,906,Description,a,Coremaster FD CM30 12/Carton,49.5,41,Price Each,412.0,37,49.5,412.0
1201,882,1321,903,Price Each,a,106.2,50.5,42,Amount,225.5,38,50.5,225.5
1443,882,1530,903,Amount,a,"1,062.00",52.0,43,"$1,128.00 ",0.0,-1,52.0,0.0
289,933,315,953,10,a,1,28.0,44,Industrial Adhesi,125.0,40,28.0,125.0
333,932,521,953,Industrial Adhesi,a,Freight Cost Inc,30.5,45,Coremaster FD CM30 12/Carton,309.5,41,30.5,309.5
556,933,917,954,Coremaster FD CM30 12/Carton,a,Freight,30.0,46,106.2,591.0,42,30.0,591.0
1290,932,1365,954,106.2,a,66,28.0,47,"1,062.00",198.5,43,28.0,198.5
1478,933,1574,956,"1,062.00",a,66,26.5,48,"$1,128.00 ",0.0,-1,26.5,0.0
302,961,313,981,1,a,Thank you for your business.,861.5,49,Freight Cost Inc,115.0,45,-1.0,115.0
332,960,513,986,Freight Cost Inc,a,Thank you for your business.,859.5,49,Freight,174.5,46,859.5,174.5
557,961,637,986,Freight,a,"$1,128.00 ",0.0,-1,66,737.5,47,0.0,737.5
1303,961,1366,981,66,a,"$1,128.00 ",0.0,-1,66,209.5,48,0.0,209.5
1513,961,1575,981,66,a,"$1,128.00 ",897.5,51,"$1,128.00 ",0.0,-1,897.5,0.0
106,1820,427,1845,Thank you for your business.,a,"$1,128.00 ",0.0,-1,Total,867.5,50,0.0,867.5
1083,1837,1185,1871,Total,a,"$1,128.00 ",0.0,-1,"$1,128.00 ",386.5,51,0.0,386.5
1466,1857,1575,1880,"$1,128.00 ",a,"$1,128.00 ",0.0,-1,"$1,128.00 ",0.0,-1,0.0,0.0
